id,psiytW9Or2s
published,"2024-02-07 01:30:22"
published_unix,1707269422
title,"Angelina Mango - La noia (Official Video - Sanremo 2024 - Eurovision 2024)"
description,"Angelina Mango - La noia (Official Video - Sanremo 2024 - Eurovision 2024) Ascolta “La noia”: https://angelinamango.lnk.to/lanoia Segui Angelina Mango: Instagram | https://www.instagram.com/angelinamango_/ TikTok | https://www.tiktok.com/@angelinamango__ Facebook | https://www.facebook.com/angelinamangooo Spotify | https://spoti.fi/483Avnq Management di Angelina Mango: Latarma srl Label: Latarma Records Una produzione Borotalco.tv Regia: Giulio Rosati Executive Producer: Matteo Stefani Producer: Jacopo Colamartino, Gaia Corteggiano Assistente di produzione: Giacomo Paini, Irene Cuffaro DOP: Xu Ruichi 1st AD: Angela Binaj Steadicam Operator: Marco Artusi Focus Puller / 1st AC: Giuseppe Torsello 2nd AC: Teresa Gusso Gaffer: Filippo Ficozzi Elettrico: Mattia Bernabè Capo Macchinista: Massimo Esposito Stylist Angelina Mango: Nick Cerioni Ass.Stylist Angelina Mango: Noemi Managò e Ilaria Taccini Make-up artist di Angelina Mango: Chantal Ciaffardini using Clinique Italia Hair Stylist Angelina Mango: Angelo Rosa Uliana Ass. Hair Stylist Angelina Mango: Eugenio Colella Stylist comparse: Aurora Zaltieri Ass. Stylist comparse: Cristina Maiorano Make Up Artist comparse: Sabrina Trentini Ass. Make Up Artist comparse: Daniela Ortiz Editor: Ilaria Fusco Colorist: Leonardo Masoero Casting director: Rita Perrotta Video Backstage: Nicolò Uzzauto Service: VideoDesign Amministrazione: Agnese Incurvati, Caterina Brignoli Fotografo di scena: Comunicarlo Un ringraziamento speciale a Clinique Italia Testo: Quanti disegni ho fatto Rimango qui e li guardo Nessuno prende vita Questa pagina è pigra Vado di fretta E mi hanno detto che la vita è preziosa Io la indosso a testa alta sul collo La mia collana non ha perle di saggezza A me hanno dato le perline colorate Per le bimbe incasinate con i traumi Da snodare piano piano con l’età Eppure sto una Pasqua guarda zero drammi Quasi quasi cambio di nuovo città Che a stare ferma a me mi viene A me mi viene La noia La noia La noia La noia Muoio senza morire In questi giorni usati Vivo senza soffrire Non c’è croce più grande Non ci resta che ridere in queste notti bruciate Una corona di spine sarà il dress-code per la mia festa È la cumbia della noia È la cumbia della noia Total Ah, è la cumbia della noia La cumbia della noia Total Quanta gente nelle cose vede il male Viene voglia di scappare come iniziano a parlare E vorrei dirgli che sto bene ma poi mi guardano male Allora dico che è difficile campare Business parli di business Intanto chiudo gli occhi per firmare i contratti Princess ti chiama princess Allora adesso smettila di lavare i piatti Muoio senza morire In questi giorni usati Vivo senza soffrire Non c’è croce più grande Non ci resta che ridere in queste notti bruciate Una corona di spine sarà il dress-code per la mia festa È la cumbia della noia È la cumbia della noia Total Ah, è la cumbia della noia La cumbia della noia Total Allora scrivi canzoni? Si, le canzoni d’amore E non ti voglio annoiare Ma qualcuno le deve cantare Cumbia, ballo la cumbia Se rischio di inciampare almeno fermo la noia Quindi faccio una festa, faccio una festa Perché è l’unico modo per fermare Per fermare Per fermare, ah La noia La noia La noia La noia Muoio perché morire Rende i giorni più umani Vivo perché soffrire Fa le gioie più grandi Non ci resta che ridere in queste notti bruciate Una corona di spine Sarà il dress-code per la mia festa È la cumbia della noia È la cumbia della noia Total Ah, è la cumbia della noia La cumbia della noia Total Total #AngelinaMango #LaNoia #Sanremo2024"
channelId,UCb6_9_Z8QQSEVqvA0GOdTJQ
channelTitle,"Angelina Mango"
duration,PT3M18S
dimension,2d
definition,hd
caption,false
allowedIn,
blockedIn,
licensedContent,1
viewCount,22608256
likeCount,167117
dislikeCount,
favoriteCount,0
commentCount,9249
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
